userid;answerid;scenario;intent;status;answer_annotation;notes;suggested_entities;answer_normalised;answer;question
;365;general;repeat;;retry please.;;;;retry please.;
;366;general;repeat;;i want to hear the last one spoken again.;;;;i want to hear the last one spoken again.;
;367;general;repeat;;will you tell me one more time please.;;;;will you tell me one more time please.;
;368;general;repeat;;one more again please.;;;;one more again please.;
;369;general;repeat;;please would you reset.;;;;please would you reset.;
;370;general;repeat;;would you tell me it one more again.;;;;would you tell me it one more again.;
;371;general;repeat;;one more time again.;;;;one more time again.;
;372;general;repeat;;would you try what i have just said one more time please.;;;;would you try what i have just said one more time please.;
;373;general;repeat;;could you repeat that please.;;;;could you repeat that please.;
;374;general;repeat;;tell me it one more time again please.;;;;tell me it one more time again please.;
;375;general;repeat;;try again please.;;;;try again please.;
;376;general;repeat;;please say it one more time again.;;;;please say it one more time again.;
;377;general;repeat;;can you start over.;;;;can you start over.;
;378;general;repeat;;could you speak once again.;;;;could you speak once again.;
;379;general;repeat;;can you do it again please.;;;;can you do it again please.;
;380;general;repeat;;please can you do it again.;;;;please can you do it again.;
;381;general;repeat;;would you try again please.;;;;would you try again please.;
;382;general;repeat;;i'd like to hear again.;;;;i'd like to hear again.;
;383;general;repeat;;please tell me the last one spoken one more time.;;;;please tell me the last one spoken one more time.;
;384;general;repeat;;tell me that words spoke again please.;;;;tell me that words spoke again please.;
;385;general;repeat;;will you replay what you have said please.;;;;will you replay what you have said please.;
;386;general;repeat;;let's try the instruction said one more time again please.;;;;let's try the instruction said one more time again please.;
;387;general;repeat;;i need to hear what said again.;;;;i need to hear what said again.;
;388;general;repeat;;please say it once again.;;;;please say it once again.;
;389;general;repeat;;say what i've just said one more again please.;;;;say what i've just said one more again please.;
;390;general;repeat;;will you start over please.;;;;will you start over please.;
;391;general;repeat;;could you speak that once more.;;;;could you speak that once more.;
;392;general;repeat;;would you repeat what said please.;;;;would you repeat what said please.;
;393;general;repeat;;i would like to hear what i said again.;;;;i would like to hear what i said again.;
;394;general;repeat;;can you tell me one more again.;;;;can you tell me one more again.;
;395;general;repeat;;let us try what i have said one more time again please.;;;;let us try what i have said one more time again please.;
;396;general;repeat;;will you tell me that once more please.;;;;will you tell me that once more please.;
;397;general;repeat;;please let us try what i've said one more time again.;;;;please let us try what i've said one more time again.;
;398;general;repeat;;please do it again.;;;;please do it again.;
;399;general;repeat;;let us do it again.;;;;let us do it again.;
;400;general;repeat;;what was that.;;;;what was that.;
;401;general;repeat;;please tell me what you have just said one more time again.;;;;please tell me what you have just said one more time again.;
;402;general;repeat;;say that once again please.;;;;say that once again please.;
;403;general;repeat;;try what i've just said one more time again.;;;;try what i've just said one more time again.;
;404;general;repeat;;tell me one more time please.;;;;tell me one more time please.;
;405;general;repeat;;would you retry.;;;;would you retry.;
;406;general;repeat;;try what you've just said one more time again please.;;;;try what you've just said one more time again please.;
;407;general;repeat;;would you speak it one more again please.;;;;would you speak it one more again please.;
;408;general;repeat;;will you speak it again please.;;;;will you speak it again please.;
;409;general;repeat;;say one more time.;;;;say one more time.;
;410;general;repeat;;will you replay that please.;;;;will you replay that please.;
;411;general;repeat;;tell me that one more time please.;;;;tell me that one more time please.;
;412;general;repeat;;let's try your sentence spoken once again please.;;;;let's try your sentence spoken once again please.;
;413;general;repeat;;would you say that one more time again please.;;;;would you say that one more time again please.;
;414;general;repeat;;will you retry it please.;;;;will you retry it please.;
;415;general;repeat;;please say once more.;;;;please say once more.;
;416;general;repeat;;please can you tell me that word said once again.;;;;please can you tell me that word said once again.;
;417;general;repeat;;what are you trying to say.;;;;what are you trying to say.;
;418;general;repeat;;stop and try what i've just said once more.;;;;stop and try what i've just said once more.;
;419;general;repeat;;let us try the sentence you said once more.;;;;let us try the sentence you said once more.;
;420;general;repeat;;please will you say it again.;;;;please will you say it again.;
;421;general;repeat;;replay what you've just said.;;;;replay what you've just said.;
;422;general;repeat;;please can you say the last again.;;;;please can you say the last again.;
;423;general;repeat;;could you say one more time again please.;;;;could you say one more time again please.;
;424;general;repeat;;please will you do it again.;;;;please will you do it again.;
;425;general;repeat;;please could you replay.;;;;please could you replay.;
;426;general;repeat;;repeat please.;;;;repeat please.;
;427;general;repeat;;let us try what you've said one more time again.;;;;let us try what you've said one more time again.;
;428;general;repeat;;sorry.;;;;sorry.;
;429;general;repeat;;please could you tell me one more again.;;;;please could you tell me one more again.;
;430;general;repeat;;will you retry that command spoke.;;;;will you retry that command spoke.;
;431;general;repeat;;i need to hear the word spoken again.;;;;i need to hear the word spoken again.;
;432;general;repeat;;one more time please.;;;;one more time please.;
;433;general;repeat;;let us try again.;;;;let us try again.;
;434;general;repeat;;can you replay what said.;;;;can you replay what said.;
;435;general;repeat;;stop and do it again.;;;;stop and do it again.;
;436;general;repeat;;i would like to hear what i have just said again.;;;;i would like to hear what i have just said again.;
;437;general;repeat;;can you speak that one more time again.;;;;can you speak that one more time again.;
;438;general;repeat;;please retry the last said.;;;;please retry the last said.;
;439;general;repeat;;replay it please.;;;;replay it please.;
;440;general;repeat;;say that once more.;;;;say that once more.;
;441;general;repeat;;i'd like to hear the last spoken again.;;;;i'd like to hear the last spoken again.;
;442;general;repeat;;do it again please.;;;;do it again please.;
;443;general;repeat;;could you say one more time please.;;;;could you say one more time please.;
;444;general;repeat;;please could you tell me one more time again.;;;;please could you tell me one more time again.;
;445;general;repeat;;can you speak one more time again please.;;;;can you speak one more time again please.;
;446;general;repeat;;i want to hear what i've said again.;;;;i want to hear what i've said again.;
;447;general;repeat;;will you tell me it one more again please.;;;;will you tell me it one more again please.;
;448;general;repeat;;repeat it please.;;;;repeat it please.;
;449;general;repeat;;will you speak what i have just said once more please.;;;;will you speak what i have just said once more please.;
;450;general;repeat;;speak the last one one more again please.;;;;speak the last one one more again please.;
;451;general;repeat;;please tell me again.;;;;please tell me again.;
;452;general;repeat;;say one more time again please.;;;;say one more time again please.;
;453;general;repeat;;what was the last thing you said to me.;;;;what was the last thing you said to me.;
;454;general;repeat;;will you reset it please.;;;;will you reset it please.;
;455;general;repeat;;repeat.;;;;repeat.;
;456;general;repeat;;let's try what i've just said one more time again please.;;;;let's try what i've just said one more time again please.;
;457;general;repeat;;i need to hear the last spoken again.;;;;i need to hear the last spoken again.;
;458;general;repeat;;i need to hear the last phrase said again.;;;;i need to hear the last phrase said again.;
;459;general;repeat;;i would like to hear what you said again.;;;;i would like to hear what you said again.;
;460;general;repeat;;tell me that one more time again please.;;;;tell me that one more time again please.;
;461;general;repeat;;say again.;;;;say again.;
;462;general;repeat;;please let us try that one more again.;;;;please let us try that one more again.;
;463;general;repeat;;will you try again please.;;;;will you try again please.;
;464;general;repeat;;could you repeat that.;;;;could you repeat that.;
;465;general;repeat;;could you tell me it one more again.;;;;could you tell me it one more again.;
;466;general;repeat;;will you tell me again.;;;;will you tell me again.;
;467;general;repeat;;i beg your pardon.;;;;i beg your pardon.;
;468;general;repeat;;can you tell me your last sentence said once again.;;;;can you tell me your last sentence said once again.;
;469;general;repeat;;please let's try it one more time again.;;;;please let's try it one more time again.;
;470;general;repeat;;will you speak it once again.;;;;will you speak it once again.;
;471;general;repeat;;let us start over please.;;;;let us start over please.;
;472;general;repeat;;speak the last one you said one more again please.;;;;speak the last one you said one more again please.;
;473;general;repeat;;i want to hear that again.;;;;i want to hear that again.;
;474;general;repeat;;let's do it again.;;;;let's do it again.;
;475;general;repeat;;please will you speak once again.;;;;please will you speak once again.;
;476;general;repeat;;would you say that once more please.;;;;would you say that once more please.;
;477;general;repeat;;stop and start over.;;;;stop and start over.;
;478;general;repeat;;will you speak once again please.;;;;will you speak once again please.;
;479;general;repeat;;will you tell me one more time again.;;;;will you tell me one more time again.;
;480;general;repeat;;tell me one more again please.;;;;tell me one more again please.;
;481;general;repeat;;i'd like to hear that sentence spoke again.;;;;i'd like to hear that sentence spoke again.;
;482;general;repeat;;tell me what i have said again.;;;;tell me what i have said again.;
;483;general;repeat;;would you try the last one you just said once again.;;;;would you try the last one you just said once again.;
;484;general;repeat;;would you tell me what i said one more time again.;;;;would you tell me what i said one more time again.;
;485;general;repeat;;what's that.;;;;what's that.;
;486;general;repeat;;will you tell me what you have said one more time please.;;;;will you tell me what you have said one more time please.;
;487;general;repeat;;speak the last words one more time please.;;;;speak the last words one more time please.;
;488;general;repeat;;replay that please.;;;;replay that please.;
;489;general;repeat;;please tell me once again.;;;;please tell me once again.;
;490;general;repeat;;please let us try what you've said one more time again.;;;;please let us try what you've said one more time again.;
;491;general;repeat;;could you say the sentence spoken once again please.;;;;could you say the sentence spoken once again please.;
;492;general;repeat;;i need to hear the last you said again.;;;;i need to hear the last you said again.;
;493;general;repeat;;would you tell me one more time please.;;;;would you tell me one more time please.;
;494;general;repeat;;could you try again please.;;;;could you try again please.;
;495;general;repeat;;let us do it again please.;;;;let us do it again please.;
;496;general;repeat;;speak one more time again please.;;;;speak one more time again please.;
;497;general;repeat;;retry it please.;;;;retry it please.;
;498;general;repeat;;what was that one more again.;;;;what was that one more again.;
;499;general;repeat;;please let us try what said once more.;;;;please let us try what said once more.;
;500;general;repeat;;please will you tell me one more time again.;;;;please will you tell me one more time again.;
;501;general;repeat;;tell me it again.;;;;tell me it again.;
;502;general;repeat;;i want to hear it again.;;;;i want to hear it again.;
;503;general;repeat;;i would like to hear what you just said again.;;;;i would like to hear what you just said again.;
;504;general;repeat;;tell me what i said one more time again please.;;;;tell me what i said one more time again please.;
;505;general;repeat;;please let us do it again.;;;;please let us do it again.;
;506;general;repeat;;would you reset what i have just said please.;;;;would you reset what i have just said please.;
;507;general;repeat;;speak what i have just said one more again.;;;;speak what i have just said one more again.;
;508;general;repeat;;please can you speak the last one said once more.;;;;please can you speak the last one said once more.;
;509;general;repeat;;would you tell me that once again.;;;;would you tell me that once again.;
;510;general;repeat;;i would like to hear that information spoken again.;;;;i would like to hear that information spoken again.;
;511;general;repeat;;i would like to hear your phrase again.;;;;i would like to hear your phrase again.;
;512;general;repeat;;would you do it again.;;;;would you do it again.;
;513;general;repeat;;would you start over please.;;;;would you start over please.;
;514;general;repeat;;say what you've said one more time again please.;;;;say what you've said one more time again please.;
;515;general;repeat;;please would you replay your last phrase said.;;;;please would you replay your last phrase said.;
;516;general;repeat;;please could you try what you've said once more.;;;;please could you try what you've said once more.;
;517;general;repeat;;could you speak it once again please.;;;;could you speak it once again please.;
;518;general;repeat;;tell me once more.;;;;tell me once more.;
;519;general;repeat;;one more again.;;;;one more again.;
;520;general;repeat;;try it one more time please.;;;;try it one more time please.;
;521;general;repeat;;please would you speak one more again.;;;;please would you speak one more again.;
;522;general;repeat;;please speak one more time again.;;;;please speak one more time again.;
;523;general;repeat;;will you try again.;;;;will you try again.;
;524;general;repeat;;once more.;;;;once more.;
;525;general;repeat;;i need to hear what you've said again.;;;;i need to hear what you've said again.;
;526;general;repeat;;let's try again.;;;;let's try again.;
;527;general;repeat;;please can you say it one more time again.;;;;please can you say it one more time again.;
;528;general;repeat;;i want to hear the last you just said again.;;;;i want to hear the last you just said again.;
;529;general;repeat;;let's try it one more time again.;;;;let's try it one more time again.;
;530;general;repeat;;i'd like to hear the last things spoke again.;;;;i'd like to hear the last things spoke again.;
;531;general;repeat;;will you retry please.;;;;will you retry please.;
;532;general;repeat;;tell me that one more time again.;;;;tell me that one more time again.;
;533;general;repeat;;i would like to hear what said again.;;;;i would like to hear what said again.;
;534;general;repeat;;will you retry it.;;;;will you retry it.;
;535;general;repeat;;let's try what you have just said one more time please.;;;;let's try what you have just said one more time please.;
;536;general;repeat;;would you tell me once again.;;;;would you tell me once again.;
;537;general;repeat;;please would you repeat.;;;;please would you repeat.;
;538;general;repeat;;i would like to hear what i just said again.;;;;i would like to hear what i just said again.;
;539;general;repeat;;tell me the last once again please.;;;;tell me the last once again please.;
;540;general;repeat;;retry it.;;;;retry it.;
;541;general;repeat;;let's try what you have said again.;;;;let's try what you have said again.;
;542;general;repeat;;please tell me that one more time again.;;;;please tell me that one more time again.;
;543;general;repeat;;stop and try again.;;;;stop and try again.;
;544;general;repeat;;let us try again please.;;;;let us try again please.;
;545;general;repeat;;i want to hear the last said again.;;;;i want to hear the last said again.;
;546;general;repeat;;can you retry what said please.;;;;can you retry what said please.;
;547;general;repeat;;i would like to hear the last utterance said again.;;;;i would like to hear the last utterance said again.;
;548;general;repeat;;can you try the last one spoken once again.;;;;can you try the last one spoken once again.;
;549;general;repeat;;would you repeat the last please.;;;;would you repeat the last please.;
;550;general;repeat;;i'd like to hear that again.;;;;i'd like to hear that again.;
;551;general;repeat;;i want to hear again.;;;;i want to hear again.;
;552;general;repeat;;tell me that one more again please.;;;;tell me that one more again please.;
;553;general;repeat;;i want to hear what you've just said again.;;;;i want to hear what you've just said again.;
;554;general;repeat;;can you speak once again.;;;;can you speak once again.;
;555;general;repeat;;can you retry please.;;;;can you retry please.;
;556;general;repeat;;i'd like to hear what said again.;;;;i'd like to hear what said again.;
;557;general;repeat;;please could you speak once more.;;;;please could you speak once more.;
;558;general;repeat;;please tell me that one more again.;;;;please tell me that one more again.;
;559;general;repeat;;will you speak one more time again.;;;;will you speak one more time again.;
;560;general;repeat;;i need to hear that sentence said again.;;;;i need to hear that sentence said again.;
;561;general;repeat;;reset please.;;;;reset please.;
;562;general;repeat;;tell me the last spoke one more time.;;;;tell me the last spoke one more time.;
;563;general;repeat;;please repeat.;;;;please repeat.;
;564;general;repeat;;please say what you've just said once again.;;;;please say what you've just said once again.;
;565;general;repeat;;i'd like to hear what you've said again.;;;;i'd like to hear what you've said again.;
;566;general;repeat;;speak one more time.;;;;speak one more time.;
;567;general;repeat;;please say it again.;;;;please say it again.;
;568;general;repeat;;repeat what you've said.;;;;repeat what you've said.;
;569;general;repeat;;can you tell me it one more time again.;;;;can you tell me it one more time again.;
;570;general;repeat;;repeat what you have just said.;;;;repeat what you have just said.;
;571;general;repeat;;start over.;;;;start over.;
;572;general;repeat;;let's try the utterance one more time please.;;;;let's try the utterance one more time please.;
;573;general;repeat;;i want to hear the phrase said again.;;;;i want to hear the phrase said again.;
;574;general;repeat;;would you say what you said once again please.;;;;would you say what you said once again please.;
;575;general;repeat;;would you try the last utterance spoken once more please.;;;;would you try the last utterance spoken once more please.;
;576;general;repeat;;i want to hear the last one you said again.;;;;i want to hear the last one you said again.;
;577;general;repeat;;can you try again please.;;;;can you try again please.;
;578;general;repeat;;would you tell me what said one more time.;;;;would you tell me what said one more time.;
;579;general;repeat;;say the last spoke once more.;;;;say the last spoke once more.;
;580;general;repeat;;i'd like to hear your last the procedure spoken again.;;;;i'd like to hear your last the procedure spoken again.;
;581;general;repeat;;try it once more please.;;;;try it once more please.;
;582;general;repeat;;can you retry what i've said please.;;;;can you retry what i've said please.;
;583;general;repeat;;i want to hear that the procedure spoken again.;;;;i want to hear that the procedure spoken again.;
;584;general;repeat;;replay what said please.;;;;replay what said please.;
;585;general;repeat;;what were you trying to say.;;;;what were you trying to say.;
;1;general;affirm;;yeah excellent response to the command.;;;;yeah excellent response to the command.;
;2;general;affirm;;yeah that is correct.;;;;yeah that is correct.;
;3;general;affirm;;yeap got it perfectly.;;;;yeap got it perfectly.;
;4;general;affirm;;it's correct.;;;;it's correct.;
;5;general;affirm;;yeah that's amazing.;;;;yeah that's amazing.;
;6;general;affirm;;yeah you have gotten command perfectly.;;;;yeah you have gotten command perfectly.;
;7;general;affirm;;you have got the answer exactly.;;;;you have got the answer exactly.;
;8;general;affirm;;yes you've gotten my instructions perfectly.;;;;yes you've gotten my instructions perfectly.;
;9;general;affirm;;yeap you have understood it correcly.;;;;yeap you have understood it correcly.;
;10;general;affirm;;yeap you have understood your understanding right.;;;;yeap you have understood your understanding right.;
;11;general;affirm;;yeap you've understood my instructions perfectly.;;;;yeap you've understood my instructions perfectly.;
;12;general;affirm;;you understood command perfectly.;;;;you understood command perfectly.;
;13;general;affirm;;that's correct.;;;;that's correct.;
;14;general;affirm;;yes you've understood my instructions right.;;;;yes you've understood my instructions right.;
;15;general;affirm;;good.;;;;good.;
;16;general;affirm;;you did it exactly.;;;;you did it exactly.;
;17;general;affirm;;yeap you understood my instructions exactly.;;;;yeap you understood my instructions exactly.;
;18;general;affirm;;yeah you've got your understanding correcly.;;;;yeah you've got your understanding correcly.;
;19;general;affirm;;yeap you've gotten that correcly.;;;;yeap you've gotten that correcly.;
;20;general;affirm;;right response.;;;;right response.;
;21;general;affirm;;yeap you get your understanding exactly.;;;;yeap you get your understanding exactly.;
;22;general;affirm;;yes wonderful response.;;;;yes wonderful response.;
;23;general;affirm;;you have done your understanding right.;;;;you have done your understanding right.;
;24;general;affirm;;yeap get it right.;;;;yeap get it right.;
;25;general;affirm;;yeah it's amazing.;;;;yeah it's amazing.;
;26;general;affirm;;get that right.;;;;get that right.;
;27;general;affirm;;yeah strongly agree.;;;;yeah strongly agree.;
;28;general;affirm;;wonderful response.;;;;wonderful response.;
;29;general;affirm;;yes great response to the command.;;;;yes great response to the command.;
;30;general;affirm;;you have done the command correcly.;;;;you have done the command correcly.;
;31;general;affirm;;correct response.;;;;correct response.;
;32;general;affirm;;that's good.;;;;that's good.;
;33;general;affirm;;yeah amazing response.;;;;yeah amazing response.;
;34;general;affirm;;yeap perfect response to the command.;;;;yeap perfect response to the command.;
;35;general;affirm;;that's excellent.;;;;that's excellent.;
;36;general;affirm;;you have got it correcly.;;;;you have got it correcly.;
;37;general;affirm;;you understood my instructions correcly.;;;;you understood my instructions correcly.;
;38;general;affirm;;yeah you have got my instructions right.;;;;yeah you have got my instructions right.;
;39;general;affirm;;yeah you've gotten your understanding perfectly.;;;;yeah you've gotten your understanding perfectly.;
;40;general;affirm;;good response.;;;;good response.;
;41;general;affirm;;yeap you did that perfectly.;;;;yeap you did that perfectly.;
;42;general;affirm;;fantastic response to command.;;;;fantastic response to command.;
;43;general;affirm;;yes that's fantastic.;;;;yes that's fantastic.;
;44;general;affirm;;yeah agree.;;;;yeah agree.;
;45;general;affirm;;yeap the command was amazing.;;;;yeap the command was amazing.;
;46;general;affirm;;yes that's amazing.;;;;yes that's amazing.;
;47;general;affirm;;perfectly.;;;;perfectly.;
;48;general;affirm;;it's exact.;;;;it's exact.;
;49;general;affirm;;yeah that's fantastic.;;;;yeah that's fantastic.;
;50;general;affirm;;get that exactly.;;;;get that exactly.;
;51;general;affirm;;yeah you've understood my instructions right.;;;;yeah you've understood my instructions right.;
;52;general;affirm;;yeap correct response.;;;;yeap correct response.;
;53;general;affirm;;yes that's excellent.;;;;yes that's excellent.;
;54;general;affirm;;yeah you've got my instructions perfectly.;;;;yeah you've got my instructions perfectly.;
;55;general;affirm;;you have done it right.;;;;you have done it right.;
;56;general;affirm;;yeah you've got that perfectly.;;;;yeah you've got that perfectly.;
;57;general;affirm;;your understanding was confirmed.;;;;your understanding was confirmed.;
;58;general;affirm;;yeah you've gotten command perfectly.;;;;yeah you've gotten command perfectly.;
;59;general;affirm;;yeap exactly.;;;;yeap exactly.;
;60;general;affirm;;yeap you have done answer exactly.;;;;yeap you have done answer exactly.;
;61;general;affirm;;got answer exactly.;;;;got answer exactly.;
;62;general;affirm;;yeap great response.;;;;yeap great response.;
;63;general;affirm;;yeap perfect.;;;;yeap perfect.;
;64;general;affirm;;yeap confirmed.;;;;yeap confirmed.;
;65;general;affirm;;you've done answer right.;;;;you've done answer right.;
;66;general;affirm;;yes get the answer perfectly.;;;;yes get the answer perfectly.;
;67;general;affirm;;you did that perfectly.;;;;you did that perfectly.;
;68;general;affirm;;yes you've got command right.;;;;yes you've got command right.;
;69;general;affirm;;yeap it's excellent.;;;;yeap it's excellent.;
;70;general;affirm;;yeah you did it exactly.;;;;yeah you did it exactly.;
;71;general;affirm;;yeah correcly.;;;;yeah correcly.;
;72;general;affirm;;you've gotten my instructions correcly.;;;;you've gotten my instructions correcly.;
;73;general;affirm;;yeah you have done your understanding right.;;;;yeah you have done your understanding right.;
;74;general;affirm;;yeap that was wonderful.;;;;yeap that was wonderful.;
;75;general;affirm;;you have done your understanding exactly.;;;;you have done your understanding exactly.;
;76;general;affirm;;you did the command perfectly.;;;;you did the command perfectly.;
;77;general;affirm;;yeah you've understood my instructions perfectly.;;;;yeah you've understood my instructions perfectly.;
;78;general;affirm;;yeap that was confirmed.;;;;yeap that was confirmed.;
;79;general;affirm;;yes command was confirmed.;;;;yes command was confirmed.;
;80;general;affirm;;yes fantastic.;;;;yes fantastic.;
;81;general;affirm;;yes exactly.;;;;yes exactly.;
;82;general;affirm;;yeah that was fantastic.;;;;yeah that was fantastic.;
;83;general;affirm;;yes excellent response.;;;;yes excellent response.;
;84;general;affirm;;yes it's excellent.;;;;yes it's excellent.;
;85;general;affirm;;yeah right response.;;;;yeah right response.;
;86;general;affirm;;you did command perfectly.;;;;you did command perfectly.;
;87;general;affirm;;yeah you've done the command exactly.;;;;yeah you've done the command exactly.;
;88;general;affirm;;yes right response.;;;;yes right response.;
;89;general;affirm;;yes that is perfect.;;;;yes that is perfect.;
;90;general;affirm;;you've done the command right.;;;;you've done the command right.;
;91;general;affirm;;get your understanding right.;;;;get your understanding right.;
;92;general;affirm;;got it exactly.;;;;got it exactly.;
;93;general;affirm;;yes correct response to the command.;;;;yes correct response to the command.;
;94;general;affirm;;yes you did the command right.;;;;yes you did the command right.;
;95;general;affirm;;yes get your understanding right.;;;;yes get your understanding right.;
;96;general;affirm;;great response to the command.;;;;great response to the command.;
;97;general;affirm;;got the answer perfectly.;;;;got the answer perfectly.;
;98;general;affirm;;yeap you've understood the answer right.;;;;yeap you've understood the answer right.;
;99;general;affirm;;yeap correct response to command.;;;;yeap correct response to command.;
;100;general;affirm;;yeap amazing.;;;;yeap amazing.;
;101;general;affirm;;you've gotten your understanding correcly.;;;;you've gotten your understanding correcly.;
;102;general;affirm;;you've got my instructions correcly.;;;;you've got my instructions correcly.;
;103;general;affirm;;yeap you've got my instructions correcly.;;;;yeap you've got my instructions correcly.;
;104;general;affirm;;yeah you have understood that right.;;;;yeah you have understood that right.;
;105;general;affirm;;yeah you understood my instructions correcly.;;;;yeah you understood my instructions correcly.;
;106;general;affirm;;yes you have got the answer correcly.;;;;yes you have got the answer correcly.;
;107;general;affirm;;yeah your understanding is good.;;;;yeah your understanding is good.;
;108;general;affirm;;yes you've understood my instructions perfectly.;;;;yes you've understood my instructions perfectly.;
;109;general;affirm;;you've done your understanding right.;;;;you've done your understanding right.;
;110;general;affirm;;yes that's good.;;;;yes that's good.;
;111;general;affirm;;you've gotten it exactly.;;;;you've gotten it exactly.;
;112;general;affirm;;yeap fantastic response to command.;;;;yeap fantastic response to command.;
;113;general;affirm;;you have got the answer right.;;;;you have got the answer right.;
;114;general;affirm;;yeah you have gotten my instructions perfectly.;;;;yeah you have gotten my instructions perfectly.;
;115;general;affirm;;yeap good response.;;;;yeap good response.;
;116;general;affirm;;fantastic response to the command.;;;;fantastic response to the command.;
;117;general;affirm;;that is right.;;;;that is right.;
;118;general;affirm;;yes it's correct.;;;;yes it's correct.;
;119;general;affirm;;it's good.;;;;it's good.;
;120;general;affirm;;yes fantastic response to the command.;;;;yes fantastic response to the command.;
;121;general;affirm;;command is confirmed.;;;;command is confirmed.;
;122;general;affirm;;yeah.;;;;yeah.;
;123;general;affirm;;it's great.;;;;it's great.;
;124;general;affirm;;you've gotten my instructions right.;;;;you've gotten my instructions right.;
;125;general;affirm;;yeah you got your understanding perfectly.;;;;yeah you got your understanding perfectly.;
;126;general;affirm;;yes you've got your understanding perfectly.;;;;yes you've got your understanding perfectly.;
;127;general;affirm;;command is great.;;;;command is great.;
;128;general;affirm;;yes it's confirmed.;;;;yes it's confirmed.;
;129;general;affirm;;great response to command.;;;;great response to command.;
;130;general;affirm;;yeap that's confirmed.;;;;yeap that's confirmed.;
;131;general;affirm;;amazing response to the command.;;;;amazing response to the command.;
;132;general;affirm;;right response to command.;;;;right response to command.;
;133;general;affirm;;yeah you understood command correcly.;;;;yeah you understood command correcly.;
;134;general;affirm;;yeap that's exact.;;;;yeap that's exact.;
;135;general;affirm;;you have done it perfectly.;;;;you have done it perfectly.;
;136;general;affirm;;you've understood command perfectly.;;;;you've understood command perfectly.;
;137;general;affirm;;yeap you've understood my instructions exactly.;;;;yeap you've understood my instructions exactly.;
;138;general;affirm;;good response to the command.;;;;good response to the command.;
;139;general;affirm;;you've got the answer perfectly.;;;;you've got the answer perfectly.;
;140;general;affirm;;yeap agreed.;;;;yeap agreed.;
;141;general;affirm;;yes command is great.;;;;yes command is great.;
;142;general;affirm;;perfect response to command.;;;;perfect response to command.;
;143;general;affirm;;yeap exact response to command.;;;;yeap exact response to command.;
;144;general;affirm;;yeah you understood your understanding correcly.;;;;yeah you understood your understanding correcly.;
;145;general;affirm;;get answer right.;;;;get answer right.;
;146;general;affirm;;yes you've got the command exactly.;;;;yes you've got the command exactly.;
;147;general;affirm;;yeah exact.;;;;yeah exact.;
;148;general;affirm;;that is correct.;;;;that is correct.;
;149;general;affirm;;that was excellent.;;;;that was excellent.;
;150;general;affirm;;yeap you've understood it correcly.;;;;yeap you've understood it correcly.;
;151;general;affirm;;yeah correct response to command.;;;;yeah correct response to command.;
;152;general;affirm;;yeah you get command exactly.;;;;yeah you get command exactly.;
;153;general;affirm;;yes you've gotten my instructions correcly.;;;;yes you've gotten my instructions correcly.;
;154;general;affirm;;yes you have understood command exactly.;;;;yes you have understood command exactly.;
;155;general;affirm;;yeah you've understood my instructions exactly.;;;;yeah you've understood my instructions exactly.;
;156;general;affirm;;you have done the command right.;;;;you have done the command right.;
;157;general;affirm;;you've got the command exactly.;;;;you've got the command exactly.;
;158;general;affirm;;yeap you got your understanding right.;;;;yeap you got your understanding right.;
;159;general;affirm;;you get your understanding right.;;;;you get your understanding right.;
;160;general;affirm;;you've got your understanding correcly.;;;;you've got your understanding correcly.;
;161;general;affirm;;yeah that's right.;;;;yeah that's right.;
;162;general;affirm;;excellent response to command.;;;;excellent response to command.;
;163;general;affirm;;yes got your understanding exactly.;;;;yes got your understanding exactly.;
;164;general;affirm;;yeah you've gotten it right.;;;;yeah you've gotten it right.;
;165;general;affirm;;got the command correcly.;;;;got the command correcly.;
;166;general;affirm;;you did answer exactly.;;;;you did answer exactly.;
;167;general;affirm;;yes you have done answer exactly.;;;;yes you have done answer exactly.;
;168;general;affirm;;yeap you get it correcly.;;;;yeap you get it correcly.;
;169;general;affirm;;you've done command correcly.;;;;you've done command correcly.;
;170;general;affirm;;yes you got that exactly.;;;;yes you got that exactly.;
;171;general;affirm;;yeah wonderful response.;;;;yeah wonderful response.;
;172;general;affirm;;you have got it exactly.;;;;you have got it exactly.;
;173;general;affirm;;yeap you get that perfectly.;;;;yeap you get that perfectly.;
;174;general;affirm;;yeah you've got my instructions correcly.;;;;yeah you've got my instructions correcly.;
;175;general;affirm;;correct response to the command.;;;;correct response to the command.;
;176;general;affirm;;you got it correcly.;;;;you got it correcly.;
;177;general;affirm;;yeap you understood my instructions correcly.;;;;yeap you understood my instructions correcly.;
;178;general;affirm;;correct response to command.;;;;correct response to command.;
;179;general;affirm;;you've done it perfectly.;;;;you've done it perfectly.;
;180;general;affirm;;yeap get the command exactly.;;;;yeap get the command exactly.;
;181;general;affirm;;yeah you did answer perfectly.;;;;yeah you did answer perfectly.;
;182;general;affirm;;yes you've done it perfectly.;;;;yes you've done it perfectly.;
;183;general;affirm;;yeah get it perfectly.;;;;yeah get it perfectly.;
;184;general;affirm;;yeah you have got my instructions exactly.;;;;yeah you have got my instructions exactly.;
;185;general;affirm;;yeap good.;;;;yeap good.;
;186;general;affirm;;yeap agree.;;;;yeap agree.;
;187;general;affirm;;you've done that right.;;;;you've done that right.;
;188;general;affirm;;yeap amazing response to the command.;;;;yeap amazing response to the command.;
;189;general;affirm;;your understanding was exact.;;;;your understanding was exact.;
